Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
284.2488,92.20352,1.623454,0.695413,0.723865,0.677835,0.675257,0.671256,1552.608
290.6496,86.6095,1.639539,0.688182,0.70247,0.678481,0.679696,0.68158,1606.25
301.9272,91.40795,1.569528,0.688746,0.697665,0.678647,0.682202,0.683194,1523.225
290.4972,92.1034,1.620672,0.687364,0.712134,0.679029,0.677382,0.677057,1598.35
286.8396,102.0505,1.634603,0.702198,0.718968,0.679052,0.679929,0.683329,1565.329
302.232,98.1159,1.595637,0.691191,0.724823,0.680141,0.677639,0.679743,1536.988
302.0796,101.3409,1.587118,0.685958,0.704496,0.680425,0.681469,0.680218,1529.914
290.3448,91.19201,1.594728,0.686688,0.704701,0.68082,0.679091,0.682535,1592.339
304.518,102.593,1.641993,0.715947,0.733695,0.682224,0.683624,0.68301,1529.958
283.6392,91.09428,1.619765,0.702849,0.71505,0.682941,0.682285,0.681166,1550.56
286.992,104.0513,1.624094,0.700721,0.722446,0.683046,0.685441,0.68841,1567.297
277.6956,94.58289,1.661106,0.727282,0.752829,0.683145,0.68369,0.686118,1568.976
286.6872,101.2933,1.645172,0.704809,0.724072,0.683687,0.685084,0.687625,1563.342
304.3656,100.3807,1.645206,0.719383,0.738349,0.683847,0.685518,0.683811,1536.805
45.2836,82.94419,1.681498,0.791576,0.83354,0.684562,0.679391,0.671244,1488.868
272.9712,94.64127,1.660011,0.731842,0.76052,0.684807,0.686636,0.68901,1533.844
277.848,102.3628,1.650259,0.731316,0.746499,0.685942,0.687256,0.691357,1568.128
27.501,73.87187,1.380458,0.769206,0.785189,0.68616,0.734209,0.758096,1464.635
302.8416,99.96345,1.631263,0.713609,0.731802,0.686199,0.685171,0.689252,1544.031
273.1236,96.51821,1.642475,0.727942,0.752228,0.686367,0.689676,0.693416,1532.979
276.9336,91.65977,1.624813,0.723496,0.749484,0.686542,0.684046,0.681148,1561.282
302.3844,96.38721,1.599864,0.695784,0.711171,0.686755,0.685228,0.686454,1544.52
280.2864,91.62878,1.576991,0.733035,0.747078,0.687257,0.692528,0.687229,1556.89
275.4096,101.7573,1.679683,0.732372,0.753157,0.687608,0.69024,0.694009,1563.9
285.1632,95.63004,1.626813,0.701933,0.731737,0.68823,0.687558,0.68634,1559.814
27.958,79.71291,1.385853,0.762636,0.794223,0.688343,0.72992,0.744317,1461.247
304.2132,94.07389,1.648852,0.71885,0.740771,0.688405,0.691051,0.69313,1543.072
284.0964,93.66714,1.631061,0.710953,0.716706,0.688561,0.689192,0.687717,1553.052
277.5432,94.82442,1.669141,0.726242,0.750703,0.688584,0.69164,0.690999,1568.065
28.263,77.37431,1.406492,0.766928,0.792655,0.688959,0.727478,0.739902,1468.698
210.4872,80.95895,1.546022,0.727856,0.818229,0.689338,0.683466,0.685594,1543.037
114.0536,80.95895,1.546022,0.727856,0.818229,0.689338,0.683466,0.685594,1543.037
285.468,101.8548,1.637638,0.704827,0.738708,0.689415,0.688853,0.689362,1570.203
284.5536,90.10865,1.644612,0.707151,0.725556,0.68945,0.690516,0.689604,1549.202
283.7916,95.41441,1.630269,0.706095,0.721717,0.689559,0.689265,0.690911,1551.324
27.653,79.39035,1.376217,0.767678,0.798748,0.689731,0.731453,0.745938,1462.697
272.8188,98.25027,1.668795,0.737878,0.769375,0.689823,0.692326,0.694669,1537.409
28.568,79.46797,1.417637,0.772903,0.787129,0.689834,0.72616,0.74023,1474.298
285.3156,99.4933,1.631304,0.70762,0.728452,0.689851,0.690562,0.690513,1564.883
286.5348,100.5201,1.649202,0.70213,0.711447,0.690218,0.690758,0.688511,1562.726
210.3348,80.03184,1.546532,0.724019,0.80336,0.690314,0.689003,0.688034,1540.007
114.018,80.03184,1.546532,0.724019,0.80336,0.690314,0.689003,0.688034,1540.007
285.6204,91.5442,1.642655,0.705635,0.717127,0.690421,0.688301,0.684089,1573.584
276.7812,91.95909,1.625289,0.720806,0.748961,0.690669,0.689357,0.69004,1561.156
280.4388,95.88148,1.573528,0.729041,0.739618,0.690683,0.690377,0.690582,1558.736
27.806,79.3473,1.379481,0.766711,0.79691,0.690747,0.729184,0.743639,1460.87
274.6476,94.16599,1.661719,0.728039,0.758221,0.690868,0.691974,0.698962,1556.718
283.944,90.51189,1.646445,0.708844,0.720031,0.691291,0.691405,0.688266,1552.261
304.8228,102.5591,1.646724,0.717344,0.734674,0.691621,0.692944,0.697335,1524.426
284.4012,94.87643,1.630759,0.707248,0.730149,0.69177,0.694016,0.690405,1550.757
304.0608,93.04021,1.645832,0.724344,0.74629,0.69191,0.695274,0.697588,1546.772
210.1824,85.49964,1.547371,0.722614,0.796601,0.692178,0.694202,0.687998,1538.647
114.018,85.49964,1.547371,0.722614,0.796601,0.692178,0.694202,0.687998,1538.647
280.134,99.31133,1.588169,0.723811,0.750862,0.692196,0.701499,0.709006,1554.945
285.7728,94.70679,1.64743,0.709337,0.727854,0.69236,0.689943,0.686279,1574.675
276.6288,103.0724,1.638204,0.719373,0.752591,0.692498,0.695725,0.698341,1560.538
274.8,95.72385,1.633685,0.73128,0.747363,0.692559,0.692797,0.696477,1558.928
275.2572,102.8915,1.66222,0.730281,0.750529,0.69283,0.696117,0.702202,1562.703
210.6396,89.05907,1.54234,0.741802,0.828381,0.692947,0.684832,0.694254,1546.695
114.016,89.05907,1.54234,0.741802,0.828381,0.692947,0.684832,0.694254,1546.695
270.6852,92.71723,1.592501,0.73299,0.761497,0.693177,0.695854,0.69518,1539.61
114.016,92.71723,1.592501,0.73299,0.761497,0.693177,0.695854,0.69518,1539.61
285.9252,97.01584,1.652541,0.709348,0.729098,0.693256,0.690504,0.686429,1573.911
273.276,92.39083,1.621841,0.721842,0.749533,0.693387,0.693188,0.697306,1533.024
304.6704,103.5622,1.646039,0.71806,0.730346,0.693446,0.692211,0.695058,1525.878
276.4764,94.73759,1.649078,0.72111,0.745357,0.693644,0.69549,0.698504,1559.125
276.324,94.95278,1.655798,0.720554,0.752814,0.693651,0.692236,0.690832,1558.706
272.6664,102.7639,1.671734,0.739712,0.77777,0.693759,0.696916,0.699376,1540.894
286.3824,96.17579,1.648717,0.708373,0.71433,0.69426,0.694103,0.692771,1564.258
270.5328,91.18865,1.626714,0.72506,0.763939,0.694285,0.697341,0.698225,1540.541
114.016,91.18865,1.626714,0.72506,0.763939,0.694285,0.697341,0.698225,1540.541
302.6892,105.3625,1.619631,0.712327,0.725319,0.694532,0.702326,0.707176,1546.524
286.0776,96.21677,1.650018,0.70643,0.721818,0.694944,0.693232,0.687592,1571.281
302.994,103.1902,1.636111,0.721711,0.742452,0.695672,0.69279,0.691851,1543.892
210.03,90.83727,1.551888,0.728793,0.786863,0.695929,0.696941,0.691925,1538.756
114.016,90.83727,1.551888,0.728793,0.786863,0.695929,0.696941,0.691925,1538.756
270.3804,92.15278,1.654613,0.731124,0.765426,0.695945,0.698137,0.702194,1550.348
114.016,92.15278,1.654613,0.731124,0.765426,0.695945,0.698137,0.702194,1550.348
273.4284,87.33732,1.609611,0.718834,0.746677,0.696134,0.696951,0.700804,1534.033
274.4952,96.00815,1.658804,0.728714,0.754582,0.69623,0.699789,0.70241,1553.156
270.99,99.9472,1.586203,0.731897,0.761379,0.696306,0.697953,0.699418,1547.219
114.016,99.9472,1.586203,0.731897,0.761379,0.696306,0.697953,0.699418,1547.219
277.086,95.03371,1.628525,0.724529,0.749109,0.696507,0.695482,0.698448,1562.474
270.8376,95.0468,1.579481,0.733525,0.771235,0.696725,0.698409,0.695332,1541.129
114.016,95.0468,1.579481,0.733525,0.771235,0.696725,0.698409,0.695332,1541.129
28.11,79.8651,1.395519,0.769302,0.790056,0.696806,0.735947,0.751389,1464.554
28.415,78.04014,1.410762,0.778081,0.789726,0.697232,0.730039,0.739506,1471.27
