Depth (mbsf),GR,RHOB,RES,Vp
111.252,69.47337,1.809564,1.233464,1543.512
111.4044,69.22555,1.801669,1.158274,1540.495
111.5568,69.37823,1.793705,1.170445,1540.495
111.7092,72.42027,1.798358,1.241201,1540.495
111.8616,73.75891,1.793767,1.276662,1543.512
112.014,71.04984,1.791874,1.282706,1543.512
112.1664,65.83402,1.787866,1.225766,1546.542
112.3188,62.93774,1.781789,1.159779,1546.542
112.4712,62.89076,1.801138,1.136421,1540.495
112.6236,62.00999,1.80046,1.156379,1540.495
112.776,62.00999,1.783558,1.160759,1546.542
112.9284,61.90969,1.780536,1.150622,1551.108
113.0808,66.7274,1.78533,1.185112,1554.167
113.2332,66.50171,1.790292,1.188878,1557.239
113.3856,66.95309,1.78855,1.168589,1549.583
113.538,60.65899,1.788415,1.13968,1546.542
113.6904,56.66947,1.782997,1.143696,1543.512
113.8428,50.95213,1.753017,1.121542,1537.489
113.9952,50.70137,1.746328,1.093125,1540.495
114.1476,53.31171,1.730366,1.098405,1540.495
114.3,57.44629,1.758844,1.135345,1551.108
114.4524,61.70702,1.776789,1.237682,1557.239
114.6048,64.55316,1.804641,1.203251,1566.527
114.7572,65.88515,1.788185,1.164585,1557.239
114.9096,64.98239,1.79269,1.122261,1551.108
115.062,63.58772,1.782918,1.151081,1557.239
115.2144,65.71918,1.77766,1.147264,1563.418
115.3668,64.91474,1.767253,1.172863,1551.108
115.5192,64.11525,1.777681,1.144085,1548.061
