Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
742.95,76.70892,2.078991,1.419028,1.608521,1.238134,1.26812,1.273002,1887.339
743.1024,79.48086,2.097818,1.409194,1.597098,1.213838,1.199147,1.186975,1891.892
743.2548,79.40563,2.108915,1.417071,1.590908,1.233,1.214709,1.204153,1911.457
743.4072,78.979,2.122989,1.419153,1.584473,1.247894,1.225155,1.215026,1932.502
743.5596,78.54269,2.148203,1.452655,1.567768,1.296051,1.27397,1.285063,1933.677
743.712,77.33904,2.140853,1.514156,1.563167,1.457508,1.509349,1.531779,1916.077
743.8644,76.16143,2.121239,1.595636,1.6113,1.634402,1.732055,1.725785,1910.224
744.0168,70.73246,2.042092,1.698066,1.665305,1.653407,1.636886,1.61407,1897.718
744.1692,63.81012,2.09255,1.766771,1.706686,1.766048,1.688607,1.668826,1856.526
744.3216,60.70551,2.056318,1.796649,1.722269,2.184385,2.163619,2.192745,1815.737
744.474,65.06875,2.076484,1.758406,1.752913,2.404738,2.50186,2.609555,1779.906
744.6264,71.56479,2.043969,1.759486,1.800708,1.759362,1.860254,1.919396,1753.979
744.7788,77.00045,2.040781,1.737055,1.806843,1.495296,1.51817,1.532193,1749.088
744.9312,79.55564,2.076977,1.709411,1.788251,1.477682,1.470127,1.457736,1755.92
745.0836,80.40823,2.083629,1.698042,1.787031,1.478221,1.48327,1.486413,1762.783
745.236,80.58916,2.043525,1.694742,1.78319,1.436628,1.464909,1.490132,1759.842
745.3884,81.53653,2.009925,1.69785,1.788473,1.48672,1.51072,1.51639,1765.81
745.5408,84.09429,1.994686,1.719028,1.797487,1.564799,1.587599,1.580341,1776.692
745.6932,83.61479,1.999044,1.747025,1.808368,1.670616,1.677696,1.67756,1781.728
745.8456,84.18479,2.000779,1.780567,1.830957,1.613671,1.673852,1.688887,1786.764
745.998,84.84537,2.020284,1.808054,1.87459,1.526579,1.600246,1.62906,1786.764
746.1504,86.57631,2.082865,1.855429,1.858903,1.67311,1.711663,1.729333,1793.801
746.3028,85.59859,1.941952,1.881334,1.891221,1.730466,1.753499,1.764905,1812.308
746.4552,83.94747,2.111545,1.907456,1.905584,1.75754,1.772883,1.787763,1835.544
746.6076,83.27351,2.142823,1.920345,1.926002,1.767689,1.792279,1.817163,1901.761
746.76,81.43246,2.107004,1.933576,1.930706,1.780356,1.809337,1.835881,1956.212
746.9124,82.14716,2.121915,1.945281,1.925367,1.790352,1.816725,1.831385,1956.212
747.0648,81.11594,2.132422,1.951962,1.913762,1.775853,1.797066,1.804039,1952.381
747.2172,80.65686,2.145536,1.929517,1.91285,1.755556,1.769841,1.778787,1931.412
747.3696,83.36068,2.143047,1.907321,1.895968,1.755387,1.768388,1.774829,1897.729
747.522,84.08887,2.143646,1.87316,1.88345,1.753121,1.762918,1.770865,1856.828
747.6744,84.84096,2.137169,1.856805,1.855121,1.738801,1.747261,1.758341,1813.688
747.8268,83.71693,2.133746,1.832432,1.841815,1.67691,1.691208,1.694172,1801.456
747.9792,83.79253,2.113071,1.789359,1.817372,1.617461,1.635997,1.653391,1793.444
748.1316,84.49758,2.094271,1.75912,1.783455,1.591331,1.602605,1.619189,1764.778
748.284,82.2858,2.080403,1.703962,1.739396,1.530023,1.545365,1.565997,1737.015
748.4364,83.19231,2.064198,1.664718,1.722945,1.462407,1.47859,1.496742,1710.112
748.5888,84.56197,2.031232,1.620827,1.702056,1.418375,1.443886,1.458499,1701.14
748.7412,82.00929,2.012011,1.606394,1.675417,1.407219,1.435844,1.442934,1711.806
748.8936,82.98726,2.008042,1.599695,1.628396,1.406154,1.426414,1.425607,1722.777
749.046,81.62257,2.015441,1.577087,1.641949,1.400383,1.417659,1.418289,1731.376
749.1984,85.38123,2.006035,1.567472,1.608762,1.432105,1.452372,1.460825,1739.464
749.3508,84.55373,2.031207,1.557922,1.593977,1.490397,1.506508,1.521792,1747.731
749.5032,87.20596,2.054914,1.541049,1.582036,1.461108,1.482779,1.500521,1756.427
749.6556,88.2619,2.080353,1.546662,1.5882,1.435815,1.457778,1.474313,1765.456
749.808,87.27972,2.066698,1.542388,1.586737,1.429693,1.448829,1.464647,1774.693
749.9604,88.21337,2.045758,1.553184,1.577463,1.426916,1.445234,1.466056,1785.148
750.1128,87.4995,2.033906,1.547897,1.590012,1.432631,1.447421,1.463284,1796.735
750.2652,89.08006,2.019239,1.556238,1.599117,1.439623,1.461199,1.474443,1808.473
750.4176,88.24837,2.053401,1.563775,1.621837,1.460283,1.486683,1.501079,1820.564
750.57,90.29719,2.05823,1.580987,1.638486,1.439214,1.465535,1.47471,1833.65
750.7224,90.60156,2.061353,1.59752,1.628356,1.453852,1.474403,1.490083,1847.563
750.8748,91.50574,2.068651,1.615829,1.644816,1.523616,1.537069,1.548214,1842.693
751.0272,93.02325,2.07842,1.639511,1.660957,1.567473,1.582332,1.59199,1836.754
751.1796,92.12052,2.077201,1.65866,1.673772,1.572285,1.593338,1.605452,1848.625
751.332,92.38211,2.075685,1.669529,1.707229,1.578613,1.601232,1.609594,1852.946
751.4844,86.41743,2.074808,1.698957,1.712443,1.56884,1.581759,1.597059,1859.552
751.6368,86.36191,2.093548,1.712861,1.718971,1.586447,1.594418,1.608686,1872.764
751.7892,85.59869,2.103157,1.712983,1.729089,1.585136,1.596989,1.609623,1866.158
751.9416,91.21547,2.108424,1.712602,1.736336,1.594358,1.610367,1.625805,1852.946
752.094,91.41727,2.109447,1.738622,1.735844,1.622011,1.643798,1.664432,1847.512
752.2464,89.43909,2.093489,1.74573,1.759192,1.622399,1.651389,1.668606,1829.42
752.3988,86.98376,2.084111,1.75702,1.762541,1.629621,1.65652,1.672698,1813.494
752.5512,87.43655,2.081192,1.767865,1.756847,1.648062,1.671183,1.688488,1811.412
752.7036,88.76301,2.087319,1.750411,1.761133,1.649462,1.671772,1.690179,1806.224
752.856,87.96147,2.086109,1.752678,1.746387,1.65547,1.676987,1.69248,1804.152
753.0084,90.97337,2.094183,1.752404,1.745553,1.656989,1.680762,1.691253,1799.585
753.1608,91.47486,2.090546,1.739123,1.73503,1.656319,1.678628,1.689293,1807.139
753.3132,92.88939,2.099758,1.735587,1.726802,1.648884,1.668609,1.674456,1833.837
753.4656,89.77995,2.089984,1.717527,1.711841,1.617655,1.632141,1.634218,1851.156
753.618,89.7793,2.08953,1.687179,1.695246,1.594479,1.601873,1.60302,1841.895
753.7704,85.15004,2.098347,1.675563,1.671728,1.584205,1.594903,1.599445,1809.797
753.9228,85.95247,2.106354,1.653335,1.662401,1.560845,1.576603,1.580779,1779.725
754.0752,82.74599,2.071741,1.634177,1.655117,1.532093,1.547773,1.551706,1759.872
754.2276,86.16988,2.070073,1.631517,1.642742,1.510361,1.522337,1.525308,1747.155
754.38,86.18243,2.08911,1.620452,1.632635,1.488642,1.50082,1.503356,1749.105
754.5324,90.46774,2.100317,1.610496,1.626544,1.489465,1.499896,1.501378,1756.887
754.6848,90.28168,2.101488,1.604537,1.61725,1.485187,1.502398,1.505781,1757.865
754.8372,91.92109,2.092969,1.588808,1.619584,1.454561,1.467396,1.471505,1766.789
754.9896,90.55524,2.080137,1.581547,1.622151,1.4544,1.463797,1.469514,1779.707
