Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
790.956,78.5919,2.090791,1.691791,1.704643,1.560207,1.565061,1.574697,1913.549
791.1084,80.09619,2.101896,1.685292,1.695325,1.539331,1.540779,1.55245,1915.253
791.2608,84.91939,2.103129,1.676956,1.6886,1.522351,1.529288,1.54206,1906.797
791.4132,87.87331,2.102638,1.65906,1.678256,1.503516,1.515027,1.521598,1916.11
791.5656,87.09658,2.112838,1.6647,1.687349,1.492156,1.502983,1.503196,1939.079
791.718,89.2714,2.112782,1.669164,1.685285,1.484917,1.485317,1.486468,1946.02
791.8704,90.7689,2.104119,1.679729,1.692913,1.489613,1.486915,1.483162,1933.989
792.0228,88.1889,2.08975,1.689427,1.685532,1.539589,1.536801,1.541921,1918.117
792.1752,85.23736,2.105175,1.68725,1.700432,1.571725,1.579487,1.591393,1909.005
792.3276,77.16006,2.107101,1.698884,1.710368,1.534089,1.543471,1.552653,1920.521
792.48,76.37426,2.12124,1.692421,1.718884,1.527766,1.537116,1.546144,1953.725
792.6324,77.15099,2.122361,1.690935,1.705828,1.547122,1.556405,1.565481,1986.332
792.7848,81.40061,2.121773,1.7124,1.717907,1.512766,1.521718,1.522538,2009.622
792.9372,81.45239,2.115149,1.721165,1.710092,1.513552,1.521085,1.51547,2016.746
793.0896,78.42317,2.100672,1.740702,1.713917,1.588249,1.583826,1.581337,1988.487
793.242,77.49111,2.098283,1.747093,1.714731,1.621922,1.61399,1.615843,1942.361
793.3944,78.00892,2.104561,1.736408,1.717625,1.6178,1.61334,1.615455,1910.866
793.5468,83.05762,2.116266,1.729729,1.713096,1.677183,1.676837,1.686293,1904.398
793.6992,84.45315,2.122438,1.720019,1.711219,1.680161,1.69018,1.701668,1909.424
793.8516,85.58711,2.108086,1.717527,1.715657,1.588058,1.602619,1.610733,1926.516
794.004,82.47651,2.09706,1.703101,1.712009,1.508767,1.508885,1.508858,1949.908
794.1564,83.82539,2.097212,1.680522,1.695724,1.499257,1.493792,1.496685,1947.892
794.3088,83.6861,2.104323,1.651186,1.691781,1.497016,1.497428,1.503145,1926.459
794.4612,83.68197,2.102758,1.639971,1.682597,1.474429,1.48412,1.495266,1908.753
794.6136,81.40358,2.096249,1.646918,1.674421,1.45495,1.46388,1.478016,1907.617
794.766,82.73644,2.094218,1.640335,1.67634,1.45309,1.464287,1.471811,1919.637
794.9184,82.01935,2.096884,1.653995,1.676091,1.459762,1.473894,1.471683,1931.763
795.0708,82.09966,2.106219,1.65706,1.672451,1.477195,1.482804,1.480307,1932.077
795.2232,80.96055,2.107014,1.674098,1.688936,1.507909,1.503824,1.506863,1920.618
795.3756,78.78361,2.099666,1.702739,1.692466,1.550296,1.546846,1.560765,1921.104
795.528,78.43673,2.092917,1.716627,1.69783,1.640443,1.652229,1.66697,1937.861
795.6804,77.71435,2.099232,1.731585,1.721078,1.597359,1.62172,1.632275,1950.628
795.8328,81.2376,2.105552,1.731756,1.724433,1.582353,1.595952,1.59674,1955.246
795.9852,82.01743,2.110837,1.752332,1.725645,1.561696,1.563803,1.55882,1951.63
796.1376,84.08869,2.113728,1.764381,1.732097,1.603542,1.58482,1.590572,1943.191
796.29,84.75929,2.105513,1.752895,1.731294,1.662105,1.650385,1.664188,1931.328
796.4424,84.50494,2.110021,1.757844,1.712978,1.645003,1.649606,1.667361,1921.861
796.5948,83.70232,2.104281,1.731617,1.720778,1.659906,1.676068,1.693858,1920.69
796.7472,81.55595,2.095641,1.728798,1.708837,1.541585,1.549545,1.552989,1920.69
796.8996,83.64147,2.090716,1.689203,1.689042,1.53109,1.52495,1.523705,1921.861
