GR,Vp,RES,RHOB
69.29305,1528.72,1.117681,1.852639
67.48705,1528.72,1.190766,1.846506
65.13706,1528.72,1.10319,1.851851
66.244,1528.72,1.100061,1.8529
69.35908,1528.72,1.124132,1.862077
68.18408,1528.72,1.211243,1.863508
64.22997,1528.572,1.177482,1.857733
62.91876,1527.168,1.218483,1.866229
66.89376,1525.245,1.174336,1.851444
70.19787,1524.865,1.207337,1.85406
72.0716,1525.341,1.138985,1.83954
69.2216,1528.395,1.149632,1.86114
65.41531,1532.532,1.183357,1.859347
64.06532,1536.055,1.183739,1.866059
66.15845,1537.144,1.108536,1.856768
67.33974,1539.34,1.178983,1.87031
66.66498,1543.136,1.234344,1.870027
64.67184,1548.213,1.23874,1.876784
65.27185,1556.194,1.318116,1.883499
65.71832,1560.795,1.319207,1.894556
66.31832,1568.674,1.263514,1.897674
65.71163,1572.967,1.252163,1.892427
67.9683,1567.335,1.292442,1.894692
66.8933,1560.889,1.309548,1.900515
67.5,1559.662,1.29575,1.908255
65.64819,1560.213,1.269369,1.903703
67.97318,1560.82,1.262868,1.894971
68.86971,1561.411,1.245721,1.911349
71.46456,1561.84,1.238143,1.898149
73.36221,1561.455,1.233438,1.88529
74.83355,1561.641,1.259975,1.849907
75.13702,1561.815,1.285573,1.836435
75.56435,1562.908,1.299965,1.836419
75.41678,1564.583,1.291498,1.835395
74.89529,1564.71,1.263005,1.840819
74.51672,1564.323,1.253751,1.840727
73.45405,1565.079,1.29458,1.842609
72.02234,1566.014,1.32291,1.841381
68.41964,1566.612,1.333463,1.84285
63.58139,1568.303,1.343866,1.844765
62.18811,1569.316,1.37052,1.845716
62.44438,1570.396,1.417771,1.850671
65.6,1572.105,1.446269,1.860361
65.7,1574.909,1.448966,1.862635
66.24317,1580.584,1.490687,1.859928
69.94318,1581.773,1.482515,1.850489
70.53876,1593.011,1.446071,1.845593
70.14558,1585.285,1.376102,1.837252
67.44334,1573.021,1.423348,1.843828
64.99775,1572.119,1.442513,1.846352
66.79549,1572.893,1.423577,1.855503
65.64774,1572.71,1.406194,1.851283
67.14774,1568.234,1.412316,1.852971
64.56604,1565.509,1.371016,1.852386
66.26604,1567.417,1.362333,1.857422
68.14104,1569.909,1.385346,1.85979
69.47279,1574.488,1.39059,1.866095
68.51968,1587.677,1.384343,1.865152
67.29266,1596.516,1.369591,1.875269
67.31988,1591.16,1.34456,1.874458
64.82298,1581.308,1.314625,1.885903
61.7,1581.7,1.334859,1.881697
62.12254,1579.904,1.315546,1.876016
65.0691,1577.938,1.269919,1.872107
68.34203,1578.21,1.301844,1.877621
70.61581,1578.377,1.284592,1.887434
69.71925,1579.74,1.275487,1.88537
68.96481,1585.988,1.25553,1.886723
66.79349,1590.002,1.339168,1.889543
66.14349,1578.873,1.298833,1.885311
65.575,1574.496,1.307511,1.886658
64.77499,1572.557,1.234407,1.886501
63.77187,1567.95,1.266063,1.896878
64.78837,1566.809,1.24348,1.882653
65.80988,1567.462,1.320353,1.86715
69.45387,1571.444,1.303478,1.868232
72.48392,1577.793,1.262842,1.891506
