Depth (mbsf),GR,RHOB,RES,Vp
278.5516,91.17046,1.755775,0.648701,1525.512
166.3852,91.17046,1.755775,0.648701,1525.512
166.2328,91.06493,1.758997,0.648929,1526.152
209.8192,85.78597,1.698648,0.649027,1519.105
166.0804,90.95941,1.762219,0.649157,1527.203
278.3992,90.85388,1.765441,0.649384,1528.535
165.928,90.85388,1.765441,0.649384,1528.535
165.7756,91.14517,1.767196,0.649613,1530.027
208.7524,85.45876,1.778545,0.650578,1531.018
222.7732,93.43661,1.770651,0.651142,1573.887
42.0268,86.40707,1.969574,0.651234,1552.93
209.2096,85.74158,1.689392,0.652448,1514.102
204.1804,87.43464,1.750447,0.652672,1511.037
57.4192,58.62063,1.54646,0.652884,1562.826
292.7832,82.11575,1.491022,0.653322,1554.578
56.962,50.2058,1.556302,0.654089,1561.715
306.7456,88.88537,1.96225,0.654329,1586.885
250.9672,88.88537,1.96225,0.654329,1586.885
70.2208,93.47827,1.859931,0.655093,1574.129
209.9716,85.61173,1.699906,0.655134,1526.422
201.742,100.2101,1.655481,0.655299,1534.768
250.6624,81.233,1.9107,0.655543,1565.162
222.9256,92.33667,1.77104,0.656122,1573.121
297.4492,91.23672,1.77143,0.656319,1572.501
223.078,91.23672,1.77143,0.656319,1572.501
200.0656,89.49129,1.694903,0.658308,1521.193
265.5976,67.49556,1.800242,0.658675,1595.038
292.1736,79.70891,1.571744,0.65949,1492.909
57.8764,66.21241,1.546196,0.659503,1558.039
73.4776,86.28794,1.733117,0.659963,1518.687
513.7048,73.27126,1.987449,0.659972,1654.716
199.6084,89.462,1.674986,0.660104,1518.021
514.162,79.48511,1.978198,0.660795,1659.57
65.6488,96.42573,1.984185,0.66088,1572.172
424.3984,71.66024,1.942049,0.661203,1605.521
267.8836,71.66024,1.942049,0.661203,1605.521
199.456,86.88457,1.65525,0.66147,1518.511
204.028,88.58726,1.749544,0.66164,1511.508
190.7692,20.19882,1.482105,0.661975,1523.551
245.6332,101.2066,1.960039,0.662363,1582.856
232.984,102.0401,1.741701,0.662394,1532.451
57.724,66.02831,1.551426,0.662867,1559.715
221.0968,91.52475,1.759386,0.662957,1569.617
