Depth (mbsf),GR,Vp,RES,RHOB
50.7136,78.70297,1576.041,0.665312,1.846839
65.8012,97.44009,1563.932,0.665473,1.98916
232.5268,102.0025,1536.079,0.665491,1.74528
245.3284,100.1471,1580.851,0.665919,1.985381
405.0436,68.08691,1574.375,0.665954,1.717307
205.7044,68.08691,1574.375,0.665954,1.717307
301.3176,89.62817,1487.431,0.666154,1.544447
268.036,71.70537,1605.527,0.666272,1.943452
199.9132,85.18437,1522.372,0.666362,1.708189
292.9356,85.61707,1520.366,0.666425,1.507086
425.008,69.34948,1600.917,0.666643,1.954443
204.3328,87.96064,1511.026,0.667431,1.744088
56.8096,53.14824,1561.286,0.667682,1.565333
232.6792,102.5415,1533.558,0.667708,1.740936
245.176,99.71706,1580.075,0.667708,1.990781
193.6648,24.04649,1528.088,0.66816,1.509818
61.534,79.97001,1549.476,0.668395,1.70782
513.4,70.64999,1662.89,0.668756,1.959682
233.2888,108.6753,1532.868,0.669076,1.741206
175.6816,107.1084,1540.515,0.669141,1.828893
55.1332,76.73644,1561.702,0.669346,1.34407
304.7644,99.28706,1579.243,0.669506,1.996181
245.0236,99.28706,1579.243,0.669506,1.996181
281.5996,105.6528,1540.514,0.669732,1.827944
175.5292,105.6528,1540.514,0.669732,1.827944
292.0212,75.93696,1510.236,0.669795,1.615089
300.8604,82.80053,1472.575,0.670102,1.543586
65.9536,100.2503,1565.443,0.670118,1.97022
54.0664,67.26572,1560.117,0.670231,1.895599
175.3768,104.4844,1540.771,0.670324,1.828392
56.6572,53.54293,1567.269,0.670554,1.568107
301.47,86.2013,1496.115,0.67076,1.538521
300.708,87.63857,1475.983,0.671086,1.562097
203.7232,93.93713,1515.647,0.671125,1.753456
244.8712,99.11265,1578.261,0.671312,1.999575
42.3316,76.09113,1582.209,0.671317,1.962277
196.2556,24.4732,1550.668,0.671389,1.485833
165.6232,91.43645,1531.607,0.671412,1.768951
298.7268,86.24954,1507.639,0.671573,1.560701
301.1652,88.05393,1478.485,0.671679,1.513495
257.9776,91.43195,1523.264,0.671689,1.771851
104.6632,91.43195,1523.264,0.671689,1.771851
296.5932,90.22752,1504.36,0.67175,1.586353
289.278,85.80201,1540.146,0.671938,1.524055
203.8756,89.73988,1513.84,0.671967,1.744747
190.6168,18.32292,1525.367,0.672216,1.48544
292.326,76.19993,1493.594,0.672232,1.530422
202.0468,94.95506,1534.8,0.672299,1.683378
57.5716,64.93779,1562.39,0.672365,1.55143
296.4408,94.83686,1520.42,0.672757,1.589209
205.552,68.24812,1572.029,0.673639,1.744192
289.4304,84.95255,1540.676,0.674035,1.515835
236.2408,87.56078,1577.496,0.674261,1.90653
212.5624,75.45168,1550.187,0.674578,1.809294
166.69,89.88991,1525.936,0.674731,1.76379
61.6864,81.70673,1539.726,0.674945,1.737051
292.6308,84.79624,1546.121,0.675177,1.487757
284.038,84.1009,1575.49,0.675732,1.805076
202.3516,79.28931,1582.625,0.675764,1.911909
297.0504,92.44029,1482.872,0.675811,1.568401
171.262,113.5092,1544.881,0.675915,1.855936
512.1808,71.16041,1673.555,0.675945,1.926156
296.2884,96.9393,1535.156,0.676024,1.587986
513.5524,76.57127,1664.173,0.676167,1.971637
50.866,71.08311,1587.339,0.676183,1.948684
289.1256,83.34554,1541.568,0.676254,1.537013
297.66,90.70624,1458.804,0.676291,1.555936
298.5744,76.28065,1512.319,0.676362,1.565381
232.3744,100.6609,1538.328,0.676662,1.734649
214.696,110.0525,1575.217,0.676856,1.831231
195.9508,26.59925,1527.549,0.677396,1.487475
403.9768,78.26977,1582.651,0.677674,1.915138
202.504,78.26977,1582.651,0.677674,1.915138
203.4184,87.14632,1523.149,0.677803,1.838174
175.2244,103.3161,1541.194,0.678014,1.828839
233.1364,102.1035,1532.991,0.678068,1.743322
118.7404,79.88007,1517.492,0.678088,1.744629
105.8824,86.3806,1520.202,0.678389,1.795153
70.0684,98.36584,1575.849,0.678406,1.861779
240.2992,88.68049,1559.039,0.678554,1.766402
293.088,88.07091,1498.561,0.678749,1.528017
200.3704,97.08244,1514.451,0.679272,1.691019
263.0068,69.01304,1566.827,0.679327,1.838361
424.5508,71.79563,1605.527,0.679376,1.946258
232.8316,102.8133,1531.657,0.679411,1.751367
236.5456,89.53467,1585.016,0.679461,1.915789
