Depth (mbsf),GR,Vp,RES,RHOB
65.3796,74.47591,1552.348,1.046841,1.759123
65.532,78.83914,1550.866,1.06947,1.733136
65.6844,77.25934,1531.668,1.053536,1.735192
65.8368,76.87991,1512.94,1.059397,1.743338
65.9892,72.21576,1513.568,1.095605,1.736992
66.1416,72.35977,1520.475,1.080478,1.732076
66.294,71.22829,1527.446,1.073471,1.734918
66.4464,68.21915,1534.481,1.072139,1.73979
66.5988,68.45129,1541.562,1.078028,1.745486
66.7512,65.52066,1548.526,1.087885,1.754217
66.9036,66.1225,1544.961,1.107341,1.755072
67.056,64.23895,1540.153,1.073475,1.737677
67.2084,63.86589,1535.375,1.066233,1.725597
67.3608,59.95403,1534.225,1.058332,1.732145
67.5132,57.47433,1537.87,1.032006,1.744555
67.6656,53.70803,1540.926,1.015078,1.727935
67.818,52.20347,1532.664,1.021826,1.716399
67.9704,52.20347,1534.17,1.071074,1.701674
68.1228,55.5184,1539.198,1.141676,1.705145
68.2752,59.87851,1544.259,1.109995,1.718734
68.4276,63.9341,1549.354,1.120608,1.739836
68.58,65.53683,1554.483,1.12729,1.757677
68.7324,64.11062,1554.172,1.10289,1.76229
68.8848,60.88255,1544.714,1.091217,1.756423
69.0372,60.32702,1535.371,1.072045,1.741697
69.1896,58.37109,1540.299,1.072859,1.751762
69.342,59.34906,1551.213,1.066582,1.77648
69.4944,60.02906,1562.282,1.061244,1.788319
69.6468,61.60886,1561.082,1.047347,1.780244
69.7992,60.25163,1553.124,1.061868,1.776811
69.9516,59.72174,1545.246,1.095899,1.778885
70.104,60.62447,1546.323,1.109039,1.783195
70.2564,64.46423,1548.228,1.109591,1.78651
70.4088,65.81831,1550.165,1.15032,1.781603
70.5612,68.07216,1552.14,1.157611,1.813604
70.7136,67.54556,1554.119,1.130228,1.843138
70.866,68.75558,1556.104,1.108072,1.863388
71.0184,73.7158,1557.72,1.212243,1.863641
71.1708,74.69019,1557.72,1.13944,1.845798
71.3232,77.84978,1562.985,1.102662,1.814438
71.4756,74.24664,1562.302,1.151369,1.808294
71.628,74.17498,1552.248,1.212672,1.79813
71.7804,74.02453,1542.322,1.232768,1.806217
71.9328,71.39155,1537.111,1.159226,1.808641
72.0852,71.38467,1532.69,1.328094,1.82075
72.2376,69.42181,1551.287,1.33882,1.839432
72.39,70.1741,1570.482,1.393424,1.828004
72.5424,68.22505,1590.158,1.463648,1.839465
72.6948,64.01302,1610.333,1.462034,1.863942
72.8472,61.97561,1598.302,1.281498,1.870143
72.9996,61.97561,1559.219,1.447631,1.869597
73.152,64.99091,1555.472,1.347036,1.822562
73.3044,70.10515,1551.744,1.302456,1.826032
73.4568,71.60263,1551.297,1.2586,1.849483
73.6092,74.6041,1557.341,1.237871,1.859432
73.7616,75.20577,1563.432,1.318835,1.863776
73.914,77.46969,1572.593,1.235737,1.838673
74.0664,73.10755,1583.953,1.441738,1.831351
74.2188,72.51338,1588.676,1.527669,1.813707
74.3712,67.24741,1584.732,1.557731,1.759188
74.5236,67.254,1549.401,1.510818,1.714633
74.676,63.71827,1560.945,1.506843,1.743831
74.8284,63.56782,1576.859,1.397944,1.800676
74.9808,62.21371,1592.431,1.341312,1.825355
75.1332,63.34213,1592.279,1.237397,1.79501
75.2856,63.63699,1581.257,1.222358,1.757013
75.438,66.78984,1570.387,1.225688,1.760664
75.5904,67.46689,1561.687,1.194945,1.769651
75.7428,70.47527,1554.331,1.123332,1.792176
