GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
63.86144,1.818464,1.089479,1.143016,1.051384,1.065852,1.08009,1539.962
64.96332,1.828325,1.08622,1.1404,1.03097,1.044516,1.056195,1539.628
66.06519,1.838187,1.08297,1.13779,1.010953,1.023607,1.032829,1539.183
66.21622,1.834898,1.082551,1.134897,1.006701,1.018002,1.02619,1538.795
66.36725,1.831609,1.082131,1.132011,1.002468,1.012428,1.019593,1538.568
66.51828,1.828321,1.081711,1.129132,0.998251,1.006884,1.013038,1538.517
67.51813,1.83984,1.081813,1.128351,1.004351,1.012072,1.01781,1538.59
68.51798,1.851359,1.081914,1.127571,1.010488,1.017287,1.022604,1538.72
69.51783,1.862879,1.082016,1.126791,1.016663,1.022528,1.027421,1538.848
70.14283,1.861897,1.083147,1.123707,1.028142,1.036006,1.043072,1538.936
70.76784,1.860915,1.084279,1.120632,1.039751,1.049662,1.058962,1538.958
71.39284,1.859933,1.085412,1.117565,1.051491,1.063497,1.075094,1538.905
70.46783,1.867345,1.08553,1.116538,1.056656,1.070097,1.083219,1538.802
69.54284,1.874758,1.085648,1.115511,1.061846,1.076738,1.091404,1538.689
68.61784,1.88217,1.085766,1.114486,1.067062,1.083419,1.099652,1538.572
67.46917,1.873598,1.084644,1.115607,1.06606,1.08381,1.099733,1538.414
66.3205,1.865027,1.083524,1.116729,1.06506,1.084201,1.099813,1538.197
65.17184,1.856455,1.082405,1.117852,1.06406,1.084592,1.099894,1537.96
65.6945,1.85135,1.081634,1.116976,1.064003,1.081712,1.094759,1537.753
66.21716,1.846246,1.080864,1.116102,1.063945,1.078839,1.089647,1537.58
66.73981,1.841141,1.080095,1.115227,1.063888,1.075974,1.08456,1537.417
66.68981,1.845294,1.080285,1.1155,1.062802,1.074734,1.081631,1537.258
66.63982,1.849447,1.080476,1.115772,1.061717,1.073496,1.078711,1537.125
66.58981,1.8536,1.080666,1.116045,1.060634,1.072259,1.075798,1537.032
66.46478,1.851575,1.081391,1.112418,1.061062,1.07055,1.074383,1536.974
66.33975,1.849551,1.082116,1.108803,1.06149,1.068844,1.072969,1536.931
66.21472,1.847526,1.082842,1.105199,1.061918,1.067141,1.071557,1536.888
65.71706,1.859575,1.080002,1.10602,1.059132,1.065733,1.070615,1536.832
65.2194,1.871624,1.077169,1.106841,1.056352,1.064327,1.069673,1536.753
64.72174,1.883673,1.074344,1.107663,1.053581,1.062923,1.068732,1536.649
65.27174,1.881225,1.072381,1.105834,1.054477,1.063716,1.069856,1536.526
65.82174,1.878777,1.070423,1.104008,1.055374,1.064509,1.070981,1536.389
66.37173,1.876328,1.068468,1.102185,1.056272,1.065303,1.072107,1536.211
67.24783,1.871895,1.066268,1.103856,1.052886,1.061179,1.068643,1535.94
68.12391,1.867461,1.064072,1.105529,1.049511,1.057071,1.06519,1535.568
69,1.863028,1.061882,1.107205,1.046146,1.052979,1.061749,1535.161
69.5,1.853632,1.061873,1.103467,1.043041,1.050331,1.057316,1534.861
70,1.844236,1.061865,1.099741,1.039946,1.047689,1.052902,1534.799
70.5,1.83484,1.061857,1.096029,1.03686,1.045054,1.048506,1535.032
71.375,1.825677,1.059147,1.098201,1.034062,1.041488,1.046178,1535.519
72.25,1.816515,1.056444,1.100377,1.031272,1.037934,1.043855,1536.136
73.125,1.807352,1.053748,1.102558,1.02849,1.034392,1.041538,1536.755
73.32256,1.808893,1.052393,1.098118,1.028941,1.035152,1.040838,1537.302
73.52012,1.810434,1.05104,1.093695,1.029393,1.035912,1.040139,1537.77
73.71768,1.811975,1.049689,1.089291,1.029845,1.036672,1.039441,1538.172
72.79156,1.819397,1.05002,1.091291,1.032267,1.039248,1.041488,1538.503
71.86545,1.826819,1.050351,1.093294,1.034696,1.04183,1.04354,1538.765
70.93933,1.834241,1.050683,1.095301,1.03713,1.044419,1.045595,1538.974
70.11433,1.841655,1.049376,1.092718,1.030879,1.037197,1.036761,1539.137
69.28933,1.849068,1.04807,1.09014,1.024667,1.030025,1.028001,1539.232
68.46432,1.856482,1.046766,1.087568,1.018492,1.022902,1.019315,1539.26
67.14071,1.85615,1.04726,1.090945,1.017672,1.021415,1.019528,1539.244
65.81709,1.855817,1.047754,1.094331,1.016853,1.01993,1.019741,1539.206
64.49348,1.855485,1.048248,1.097729,1.016035,1.018447,1.019954,1539.156
64.66959,1.852037,1.050037,1.094753,1.025476,1.027055,1.028161,1539.098
64.84571,1.848589,1.051828,1.091785,1.035006,1.035736,1.036434,1539.032
65.02183,1.845142,1.053623,1.088826,1.044624,1.044491,1.044773,1538.942
64.82943,1.846456,1.052407,1.087719,1.047873,1.048684,1.050435,1538.803
64.63703,1.84777,1.051193,1.086612,1.051132,1.052894,1.056128,1538.608
64.44463,1.849084,1.049979,1.085507,1.054401,1.057121,1.061852,1538.382
64.68591,1.853256,1.051114,1.086192,1.052492,1.056363,1.060994,1538.17
