Depth (mbsf),GR,RHOB,RES,Vp
56.8452,66.79926,1.851145,1.128429,1575.926
56.9976,68.60474,1.851138,1.160229,1575.435
57.15,69.35702,1.863506,1.180018,1576.427
57.3024,69.73333,1.861553,1.189504,1577.702
57.4548,69.28196,1.872662,1.184919,1576.826
57.6072,68.82352,1.863167,1.158248,1574.305
57.7596,67.54784,1.870719,1.184483,1571.039
57.912,65.96804,1.844595,1.148375,1569.146
58.0644,62.96599,1.83704,1.146361,1570.563
58.2168,62.65849,1.821213,1.158204,1571.611
58.3692,64.68965,1.827382,1.160554,1571.788
58.5216,63.18509,1.801315,1.174391,1575.002
58.674,64.08791,1.808328,1.191169,1578.068
58.8264,62.88426,1.802326,1.184238,1580.605
58.9788,64.53927,1.813271,1.193424,1581.431
59.1312,62.58701,1.820885,1.186924,1581.338
59.2836,60.02925,1.821157,1.185632,1581.648
59.436,59.42743,1.821444,1.226309,1581.902
59.5884,59.88163,1.814956,1.270241,1581.628
59.7408,62.13848,1.817707,1.290655,1577.579
59.8932,63.63998,1.796327,1.248996,1572.381
60.0456,63.94089,1.786028,1.178623,1562.188
60.198,65.89682,1.775569,1.164149,1561.131
60.3504,65.22283,1.784118,1.196885,1567.163
60.5028,64.62101,1.815065,1.219115,1574.858
60.6552,62.36417,1.841928,1.182864,1579.615
60.8076,60.25777,1.838774,1.211054,1582.163
60.96,62.20686,1.806948,1.171532,1582.25
61.1124,60.84666,1.792627,1.14262,1553.58
61.2648,60.46473,1.786892,1.093772,1544.891
61.4172,64.98527,1.790501,1.113001,1536.578
61.5696,69.04336,1.795033,1.137425,1535.162
61.722,72.20245,1.780706,1.10523,1539.938
61.8744,65.95559,1.742195,1.110173,1547.141
62.0268,63.10115,1.719505,1.169506,1539.671
62.1792,61.67558,1.689137,1.198451,1526.677
62.3316,55.27507,1.685295,1.203906,1510.418
62.484,51.3693,1.673247,1.265768,1512.748
62.6364,52.42181,1.674576,1.268421,1518.23
62.7888,57.39013,1.674788,1.125213,1523.754
62.9412,61.4495,1.702734,1.136474,1528.573
63.0936,59.42155,1.705496,1.056378,1533.309
63.246,62.1291,1.707069,1.056865,1538.074
63.3984,64.08798,1.70213,1.056662,1542.503
63.5508,65.14118,1.7154,1.057445,1546.417
