Depth (mbsf),GR,Vp,RES,RHOB
64.6176,72.75848,1591.844,1.785601,1.902471
64.77,70.02753,1588.635,1.804039,1.902867
64.9224,69.62871,1591.844,1.801225,1.883554
65.0748,64.5176,1598.302,1.713533,1.887422
65.2272,65.34185,1595.067,1.425442,1.90262
65.3796,66.87151,1598.302,1.503618,1.914087
65.532,70.93692,1595.067,1.516637,1.920743
65.6844,70.93666,1591.844,1.581906,1.908883
65.8368,69.45718,1595.067,1.704184,1.904688
65.9892,67.35078,1595.067,1.793108,1.908109
66.1416,67.05025,1591.844,1.658448,1.909563
66.294,66.34138,1588.635,1.538414,1.922327
66.4464,68.37254,1588.635,1.549258,1.937325
66.5988,70.7796,1601.551,1.579936,1.939324
66.7512,72.09028,1603.18,1.693462,1.946234
66.9036,70.15698,1598.302,2.024347,1.91785
67.056,69.03194,1606.448,2.066846,1.909566
67.2084,70.48397,1598.302,1.872237,1.918531
67.3608,73.74359,1595.067,1.604302,1.920537
67.5132,74.71481,1598.302,1.496326,1.937386
67.6656,76.82117,1598.302,1.500156,1.951302
67.818,74.43155,1603.18,1.407867,1.953629
67.9704,74.81445,1599.925,1.422587,1.952708
68.1228,71.95818,1595.067,1.467107,1.949241
68.2752,73.69855,1580.668,1.545065,1.943225
68.4276,72.34444,1571.212,1.48146,1.963283
68.58,73.13684,1571.212,1.485575,1.931191
68.7324,71.85447,1568.086,1.513146,1.922464
68.8848,71.9297,1574.352,1.524965,1.885619
69.0372,70.38276,1574.352,1.532856,1.897281
69.1896,71.8891,1577.503,1.564318,1.907154
69.342,75.34959,1571.212,1.596264,1.911481
69.4944,75.90351,1571.212,1.59434,1.88708
69.6468,76.98351,1574.352,1.573269,1.876326
69.7992,75.85508,1577.503,1.555839,1.89849
69.9516,74.57297,1585.438,1.480792,1.924679
70.104,72.03513,1580.668,1.44791,1.924679
70.2564,71.10524,1577.503,1.35048,1.924679
70.4088,71.03325,1571.212,1.599485,1.924679
70.5612,70.76256,1577.503,1.692415,1.918833
70.7136,70.30897,1591.844,1.714382,1.92325
70.866,71.06125,1591.844,1.647139,1.93305
71.0184,71.06125,1591.844,1.853087,1.886529
71.1708,69.96221,1591.844,1.823344,1.881162
71.3232,69.96221,1588.635,1.566525,1.887998
71.4756,69.96221,1591.844,1.454717,1.911001
71.628,70.63926,1598.302,1.443178,1.926589
71.7804,70.11266,1598.302,1.454679,1.927195
71.9328,70.91091,1595.067,1.457035,1.889936
72.0852,72.02678,1591.844,1.533224,1.889847
72.2376,74.3463,1585.438,1.480021,1.888863
72.39,72.64531,1585.438,1.620914,1.900303
72.5424,70.30073,1588.635,1.737658,1.904267
72.6948,67.30149,1588.635,1.622709,1.928369
72.8472,66.09254,1588.635,1.541696,1.94541
72.9996,64.53252,1591.844,1.488438,1.965981
73.152,65.137,1595.067,1.414372,1.964621
73.3044,68.82849,1603.18,1.417297,1.953279
73.4568,69.73488,1603.18,1.460128,1.949423
73.6092,67.77895,1595.067,1.482386,1.933665
73.7616,66.12393,1595.067,1.488959,1.919142
73.914,66.27604,1588.635,1.427942,1.922816
74.0664,71.0154,1582.255,1.381631,1.907447
74.2188,73.04657,1583.845,1.320341,1.889389
74.3712,73.34748,1583.845,1.257272,1.865751
74.5236,71.5557,1580.668,1.428396,1.861938
74.676,73.28595,1574.352,2.064295,1.83257
74.8284,75.38617,1568.086,1.702937,1.832118
74.9808,76.34428,1563.418,1.318929,1.829614
75.1332,70.94151,1563.418,1.30978,1.836046
75.2856,71.84814,1568.086,1.4165,1.868948
75.438,72.30568,1571.212,1.400065,1.873946
75.5904,75.82773,1563.418,1.37494,1.893375
75.7428,73.87408,1560.323,1.359212,1.840946
75.8952,70.79289,1546.542,1.43585,1.858705
76.0476,69.66447,1543.512,1.613964,1.8897
76.2,67.85354,1543.512,1.663179,1.886354
76.3524,67.61924,1560.323,1.573077,1.883291
76.5048,69.19903,1563.418,1.327073,1.819973
76.6572,71.50563,1563.418,1.327289,1.834451
76.8096,76.46944,1563.418,1.316771,1.841842
76.962,77.6664,1563.418,1.293278,1.893993
77.1144,78.22393,1560.323,1.43873,1.887731
77.2668,74.69221,1554.167,1.941695,1.878962
77.4192,70.48048,1551.108,1.896454,1.858429
77.5716,65.96175,1557.239,1.502094,1.856499
77.724,65.58829,1560.323,1.488367,1.868411
77.8764,68.18179,1571.212,1.687107,1.884443
78.0288,78.56068,1571.212,1.410804,1.888032
78.1812,78.71114,1571.212,1.335804,1.879534
78.3336,77.17648,1571.212,1.299196,1.862121
78.486,72.59204,1571.212,1.337261,1.862121
78.6384,74.84257,1563.418,1.34819,1.86704
78.7908,75.29393,1560.323,1.628106,1.862096
78.9432,72.66411,1563.418,1.661105,1.857617
79.0956,71.21602,1568.086,1.409196,1.845268
79.248,71.81784,1566.527,1.419035,1.862057
79.4004,73.17194,1560.323,1.434424,1.879654
79.5528,74.02452,1566.527,1.375706,1.897949
79.7052,74.02452,1568.086,1.377766,1.900273
79.8576,76.28137,1568.086,1.392918,1.894689
80.01,75.3727,1568.086,1.397418,1.890237
80.1624,74.46402,1560.323,1.399496,1.897964
80.3148,72.65854,1557.239,1.390433,1.912425
80.4672,74.77087,1560.323,1.420844,1.922915
80.6196,75.17402,1560.323,1.547883,1.919446
80.772,72.30978,1566.527,1.415418,1.917576
80.9244,68.69326,1568.086,1.385224,1.891823
81.0768,68.37128,1568.086,1.375944,1.90607
81.2292,70.15985,1571.212,1.351573,1.927849
81.3816,71.74521,1571.212,1.356648,1.92845
81.534,71.51952,1568.086,1.351841,1.930003
81.6864,73.04658,1571.212,1.393389,1.885988
81.8388,72.68988,1574.352,1.344148,1.885592
81.9912,73.79322,1574.352,1.320127,1.916704
82.1436,72.43912,1574.352,1.351717,1.89549
82.296,73.17194,1571.212,1.380499,1.905808
82.4484,71.31632,1571.212,1.38072,1.902124
82.6008,68.00628,1571.212,1.452181,1.905798
82.7532,68.25308,1568.086,1.930241,1.945836
82.9056,68.69862,1571.212,1.777343,1.931108
83.058,71.1001,1574.352,1.559142,1.906786
83.2104,68.06985,1574.352,1.571332,1.895813
83.3628,67.82493,1577.503,1.54041,1.893388
83.5152,67.42953,1577.503,1.444572,1.893388
83.6676,69.91205,1580.668,1.47198,1.892304
83.82,65.64913,1585.438,1.522214,1.897685
83.9724,64.44548,1595.067,1.496378,1.910755
84.1248,64.46112,1591.844,1.577523,1.885142
84.2772,67.91904,1585.438,1.712567,1.900695
84.4296,70.12573,1580.668,1.825928,1.904451
84.582,70.11009,1580.668,1.798381,1.898836
84.7344,70.71449,1580.668,2.047864,1.889388
84.8868,71.54201,1577.503,2.446657,1.878103
85.0392,72.29996,1577.503,2.149341,1.881914
85.1916,75.23058,1577.503,1.308574,1.875409
85.344,74.70398,1577.503,1.265623,1.895559
85.4964,76.61489,1585.438,1.332481,1.903523
85.6488,75.13656,1591.844,1.516939,1.948123
85.8012,76.33386,1591.844,2.007804,1.918041
85.9536,75.1632,1588.635,2.136971,1.910911
86.106,74.16228,1580.668,2.371443,1.886964
86.2584,71.90548,1580.668,1.788491,1.89695
86.4108,70.20269,1585.438,1.522483,1.903471
86.5632,71.09937,1588.635,1.495655,1.897907
86.7156,72.15282,1591.844,1.455171,1.908574
